Level1,Level2,Level3,Content
W島,模型の作り方のヒント ,ヒント①,「おる」を含むイラストは、「タオル(3つ)」「オルゴール(3つ)」「じおる(1つ)」の3種類だ。
W島,模型の作り方のヒント,ヒント②,"「はる」が含まれるイラストは、「春(2つ)」「春巻き(2つ)」「はるてぃー(1つ)」だ。
立体的に点線を折って、イラストが完成するようにしよう。"
W島,ワニが吐き出すもののヒント,ヒント①,例えば「水」から出発すると、ワニの口を少し開けて道をつなげることで、「ミミズク」にたどり着く。他も同様に確認しよう。
W島,ワニが吐き出すもののヒント,ヒント②,"「コーラ」から出発すると「コーラル」に、「牛乳」から出発すると「ミルクレープ」にたどり着く。<br>
「大根」「餅」「鉄」から出発すると、「何も起きないようだ」にたどり着ける。<br>
ここから吐き出すものの法則を導こう。"
W島,ワニが吐き出すもののヒント,ヒント③,"何かを吐き出すのは「水」「コーラ」「牛乳」を飲ませたとき、吐き出さないのは「大根」「餅」「鉄」を飲ませたときだ。<br>
何かを吐き出すときに飲ませたものの共通点を考えよう。"
W島,ワニが吐き出すもののヒント,ヒント④,"何かを吐き出すのは、「飲み物」を飲ませたときだ。<br>
「ミズ」を飲ませると「ミミズク」を、「コーラ」を飲ませると「コーラル」を、「牛乳(ミルク)」を飲ませると「ミルクレープ」を吐き出すぞ。"
W島,ワニが吐き出すもののヒント,答え,ワニは「飲み物」を飲み込むと、飲み込んだものの「名前」を含むものを吐き出すぞ。
W島,爆弾を止める方法のヒント,ヒント①,はるてぃーの言う通り、爆弾を吐き出させることは不可能だ。それでも、「何か」を飲み込ませ、その「何か」にスイッチを押させることで、爆弾を解除できるぞ。
W島,爆弾を止める方法のヒント,ヒント②,"ワニに人を飲み込ませると、胃の中で爆弾のスイッチを押せる。<br>
ただ、そのままではその人はワニの胃の中に取り残されてしまうので、吐き出させないといけない。<br>
法則を使ってその人を吐かせるには、誰を飲み込ませ、その後何を飲ませれば良いだろう？"
W島,爆弾を止める方法のヒント,答え,"「はるてぃー」をワニに丸呑みさせてから、「茶」（ティー）で吐き出させればよい。<br>
「はるてぃー茶」と送信しよう。"
S島,5問の謎のヒント,Q1のヒント,"灰色の1234はwoodだ。<br>
これを埋めると、銀メダルの行は「second / two」となる。<br>
これをもとに、金メダルの行に何が入るか考えよう。"
S島,5問の謎のヒント,Q1の答え,金メダルの行には「first / one」が埋まる。答えは「stone」だ。
S島,5問の謎のヒント,Q2のヒント,上のイラストは「鉄（てつ）」、その下のイラストは「盾（たて）」だ。使われている文字の共通点に注目し、答えが何か考えよう。
S島,5問の謎のヒント,Q2の答え,矢印は「たちつてと」の丸が付いている部分だけ読む法則だ。答えは「つち」だ。
S島,5問の謎のヒント,Q3のヒント①,"左側のツール1つ1つが、「じ/ば/ん」「じ/お/る」の1文字に対応している。<br>
まずは緑のゲージの法則から考えよう。<br>
「2/7のきんのしゃべる」が「ん」、「5/6のだいやのおの」が「お」、「7/7のてつのしゃべる」が「る」に対応している。"
S島,5問の謎のヒント,Q3のヒント②,"緑のゲージは、数字がA/Bの時に「ツール名のB文字中のA文字目」に対応させる法則だ。例えば「2/7のきんのしゃべる」は、「7文字中2文字目」の「ん」に対応する。<br>
赤のゲージは、この法則にさらに小さな変化を加えたものだ。"
S島,5問の謎のヒント,Q3の答え,"赤のゲージは、緑のゲージの法則で対応する文字に濁点を付けたものだ。<br>
例えば左上の「2/5のいしのおの」は、「5文字中2文字目」に濁点を付けた「じ」に対応する。<br>
答えは、「きんのつるはし/だいやのしゃべる/きのおの」それぞれを対応させた「つるぎ」だ。"
S島,5問の謎のヒント,Q4のヒント,右側のイラストをうまく解釈すると、「釣る」が「ツール」に、「掘る」が「ホール」になる法則だと考えられる。
S島,5問の謎のヒント,Q4の答え,"中央に「ー」を入れると「ツル→ツール」、「ホル→ホール」となるので、矢印は「中央に伸ばし棒を入れる法則」だとわかる。<br>
「ハト」　の真ん中に「ー」を入れた「ハート」が答えだ。"
S島,5問の謎のヒント,Q5のヒント,★に共通して「石」を入れると、うまく熟語が完成する。それらの読みを丸に当てはめよう。
S島,5問の謎のヒント,Q5の答え,「岩(いわ)」「石(いし)」「岩石(がんせき)」と丸に文字を埋めよう。１２に入る文字を読んで、答えは「きん」だ。
S島,番号の導き方のヒント,ヒント①,5つの謎の答えは「stone(石)」「つち」「つるぎ」「ハート」「きん」だ。「つるぎ」は2か所、それ以外は1か所ずつ塗りつぶそう。
S島,番号の導き方のヒント,ヒント②,全部で6か所塗りつぶせたら、3桁の白い数字が見えてくるはずだ。
S島,番号の導き方のヒント,答え,白く残ったエリアを見ると「729」と読める。ボーナスチェストの鍵を「729」で開けて、中身を取り出せたら18ページへ進もう。
S島,地下の掘り進め方のヒント,ヒント①,ルールの例のように、「スタート」と隣り合うマスのうち「破壊」は鉄のシャベルで掘れる。実際にシャベルのコインで洞窟マップのB1マスを削ろう。
S島,地下の掘り進め方のヒント,ヒント②,「破壊」と隣り合う2マスのうち、「坂道」はつちへんを持つので鉄のシャベルで掘れる。掘ってみると、次は鉄のツルハシで掘れるマスがある。
S島,地下の掘り進め方のヒント,ヒント③,鉄のツルハシ、鉄のオノ、鉄のシャベルで「岩盤→黒板→地面」掘り進めよう。次に「高校」が掘れるが、その次に掘れるマスが無くて行き止まる。他に掘れるマスが無いか、条件に注目しよう。
S島,地下の掘り進め方のヒント,ヒント④,鉄のオノの条件は「きへんを含む」ことだ。漢字の部首の「木へん」以外の「きへん」を含む言葉がないか探してみよう。
S島,地下の掘り進め方のヒント,ヒント⑤,"「激変(げ""きへん"")」を掘り、先に進もう。"
S島,地下の掘り進め方のヒント,ヒント⑥,「鉄棒→絵柄」と掘るとその次に掘れるマスが無くて行き止まる。鉄のツルハシの条件を再確認して他に掘れるマスを探そう。
S島,地下の掘り進め方のヒント,ヒント⑦,19ページでそろもんが言う通り「人間」は「意思(いし)」を持つ。鉄のツルハシで掘り進めよう。
S島,地下の掘り進め方のヒント,ヒント⑧,「人間」の次に掘れるマスが無さそうだ。そろもんがくれた情報に注目しよう。（もしまだ宝箱に書かれた数字を送っていなかった場合は、送って情報をそろもんからもらおう）
S島,地下の掘り進め方のヒント,ヒント⑨,「ちいさなS島」とは、机上のとあるものに描かれたS島の絵のことだ。
S島,地下の掘り進め方のヒント,ヒント⑩,地図上に描かれたS島に注目し、その真下にあたる場所をくまなく探そう。もし見つからない場合、もっと下を探そう。
S島,地下の掘り進め方のヒント,ヒント⑪,机の裏に、新たなツールが貼り付けてある。剥がして確認してみよう。
S島,地下の掘り進め方のヒント,ヒント⑫,「青銅」「巨大」のどちらかを、ダイヤのツルハシで掘ることができる。
S島,地下の掘り進め方のヒント,ヒント⑬,「青銅」は「色(青)」と「曜日(金)」を両方含むのでダイヤのツルハシで掘ることができる。
C島,秘島の場所がわからない,ヒント①,秘島の書の手順を実行しよう。4人で分担して、青の糸をＮ島、紫の糸をＥ島、赤の糸をＷ島、黄の糸をＳ島の中央で押さえよう。
C島,秘島の場所がわからない,ヒント②,残りの1人で糸のもう片方の端を集めてつまみ、その手を動かして全ての糸がぴんと張る場所を探そう。
C島,秘島の場所がわからない,ヒント③,つまんだ手を「地図上」ではなく「地図の上」で動かすことがポイントだ。
C島,秘島の場所がわからない,答え,C島真上の空中で、全ての糸をぴんと張らせることができる。つまり、秘島はC島の真上にある。
C島,場所はわかったが、行き方がわからない,ヒント①,羅針盤を使い船の移動方向を「上」に指定できれば、C島の真上に行けるはずだ。4枚の方向カードのどれかをうまく使い「上」に移動しよう。
C島,場所はわかったが、行き方がわからない,ヒント②,赤枠の中に「ウエ」という文字列を入れられれば上方向に移動できるはずだ。
C島,場所はわかったが、行き方がわからない,ヒント③,方向カードは、マス目に沿っていればどう置いてもよい。例えば、カードに書かれたカタカナが全て赤枠に入っていなくてもよい。
